Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
2023-09-25,64600,71300,64600,68500,66600,4019067,267666905850,2650,آباد,توریستی ورفاهی آبادگران ایران,بورس,64600,71300,64600,68500,66600
2023-09-26,69390,69400,66000,66810,67840,1149596,77984762660,1275,آباد,توریستی ورفاهی آبادگران ایران,بورس,69390,69400,66000,66810,67840
2023-09-27,66700,69200,64450,64570,65150,1163823,75818163350,1453,آباد,توریستی ورفاهی آبادگران ایران,بورس,66700,69200,64450,64570,65150
2023-09-30,64020,64990,61900,61900,62360,581181,36242603280,750,آباد,توریستی ورفاهی آبادگران ایران,بورس,64020,64990,61900,61900,62360
2023-10-01,59250,61500,59250,59970,59890,2890752,173139473230,1510,آباد,توریستی ورفاهی آبادگران ایران,بورس,59250,61500,59250,59970,59890
2023-10-02,61000,62880,60010,62880,62370,990183,61756837610,778,آباد,توریستی ورفاهی آبادگران ایران,بورس,61000,62880,60010,62880,62370
2023-10-04,65460,65480,64010,65480,65370,2639907,172570801120,1222,آباد,توریستی ورفاهی آبادگران ایران,بورس,65460,65480,64010,65480,65370
2023-10-07,68630,68630,68630,68630,68630,351895,24150553850,194,آباد,توریستی ورفاهی آبادگران ایران,بورس,68630,68630,68630,68630,68630
2023-10-08,72060,72060,65900,72060,70610,6205238,438172288580,3663,آباد,توریستی ورفاهی آبادگران ایران,بورس,72060,72060,65900,72060,70610
2023-10-09,73500,74140,71950,74140,74060,1903005,140934807920,857,آباد,توریستی ورفاهی آبادگران ایران,بورس,73500,74140,71950,74140,74060
2023-10-10,76900,77760,75010,77760,77360,2029138,156965037910,932,آباد,توریستی ورفاهی آبادگران ایران,بورس,76900,77760,75010,77760,77360
2023-10-11,81220,81220,81220,81220,81220,468619,38061235180,220,آباد,توریستی ورفاهی آبادگران ایران,بورس,81220,81220,81220,81220,81220
2023-10-14,85280,85280,78880,80000,83820,7329146,614354260380,5223,آباد,توریستی ورفاهی آبادگران ایران,بورس,85280,85280,78880,80000,83820
2023-10-15,80000,81700,79630,79630,80020,1553666,124325872580,726,آباد,توریستی ورفاهی آبادگران ایران,بورس,80000,81700,79630,79630,80020
2023-10-16,76020,76020,76020,76020,76020,394363,29979475260,281,آباد,توریستی ورفاهی آبادگران ایران,بورس,76020,76020,76020,76020,76020
2023-10-17,72220,76900,72220,75000,73410,7694491,564825339310,4213,آباد,توریستی ورفاهی آبادگران ایران,بورس,72220,76900,72220,75000,73410
2023-10-18,74000,75000,69740,71430,71420,2839030,202760514460,2105,آباد,توریستی ورفاهی آبادگران ایران,بورس,74000,75000,69740,71430,71420
2023-10-21,71240,73570,69110,70490,70880,1589691,112684098860,1382,آباد,توریستی ورفاهی آبادگران ایران,بورس,71240,73570,69110,70490,70880
2023-10-22,70880,70880,67340,68760,68030,2680527,182355410680,2308,آباد,توریستی ورفاهی آبادگران ایران,بورس,70880,70880,67340,68760,68030
2023-10-23,69300,71430,67350,71430,70680,1225527,86619884050,881,آباد,توریستی ورفاهی آبادگران ایران,بورس,69300,71430,67350,71430,70680
2023-09-25,11270,11580,11160,11290,11330,882007,9953595010,684,آبادا,تولید نیروی برق آبادان,بورس,11270,11580,11160,11290,11330
2023-09-26,11040,11290,11000,11150,11160,1008816,11209953070,784,آبادا,تولید نیروی برق آبادان,بورس,11040,11290,11000,11150,11160
2023-09-27,11000,11300,11000,11140,11140,640057,7123113700,636,آبادا,تولید نیروی برق آبادان,بورس,11000,11300,11000,11140,11140
2023-09-30,11160,11430,11100,11150,11170,1017492,11376951520,1120,آبادا,تولید نیروی برق آبادان,بورس,11160,11430,11100,11150,11170
2023-10-01,11000,11390,10850,11010,11120,719102,7958971590,754,آبادا,تولید نیروی برق آبادان,بورس,11000,11390,10850,11010,11120
2023-10-02,11340,11340,10840,11200,11150,1358821,15144882640,774,آبادا,تولید نیروی برق آبادان,بورس,11340,11340,10840,11200,11150
2023-10-04,11430,11430,11120,11120,11270,1208301,13639915250,841,آبادا,تولید نیروی برق آبادان,بورس,11430,11430,11120,11120,11270
2023-10-07,11500,11830,11300,11830,11770,6365473,74891108180,1760,آبادا,تولید نیروی برق آبادان,بورس,11500,11830,11300,11830,11770
2023-10-08,11950,11950,11190,11360,11260,4052762,45616214210,910,آبادا,تولید نیروی برق آبادان,بورس,11950,11950,11190,11360,11260
2023-10-09,11340,11560,11000,11230,11300,951202,10764096730,656,آبادا,تولید نیروی برق آبادان,بورس,11340,11560,11000,11230,11300
2023-10-10,11500,11500,11030,11190,11170,1476594,16488816540,671,آبادا,تولید نیروی برق آبادان,بورس,11500,11500,11030,11190,11170
2023-10-11,11100,11460,11100,11280,11270,1077741,12171993390,619,آبادا,تولید نیروی برق آبادان,بورس,11100,11460,11100,11280,11270
2023-10-14,11670,11670,10900,11190,11180,815219,9064815050,604,آبادا,تولید نیروی برق آبادان,بورس,11670,11670,10900,11190,11180
2023-10-15,10800,11400,10800,10950,11140,764462,8497693020,465,آبادا,تولید نیروی برق آبادان,بورس,10800,11400,10800,10950,11140
2023-10-16,10980,11350,10980,11290,11200,1246072,13963639270,604,آبادا,تولید نیروی برق آبادان,بورس,10980,11350,10980,11290,11200
2023-10-17,11200,11400,11190,11240,11230,960618,10798102390,519,آبادا,تولید نیروی برق آبادان,بورس,11200,11400,11190,11240,11230
2023-10-18,11220,11220,10840,10890,11090,617140,6747741770,484,آبادا,تولید نیروی برق آبادان,بورس,11220,11220,10840,10890,11090
2023-10-21,10770,11250,10770,11080,11120,662415,7387432260,567,آبادا,تولید نیروی برق آبادان,بورس,10770,11250,10770,11080,11120
2023-10-22,10860,11490,10860,11140,11180,775138,8703992440,572,آبادا,تولید نیروی برق آبادان,بورس,10860,11490,10860,11140,11180
2023-10-23,10930,11000,10710,10740,10820,1345030,14553665370,524,آبادا,تولید نیروی برق آبادان,بورس,10930,11000,10710,10740,10820
2023-09-25,7020,7050,6870,6870,6950,2349312,16323998910,315,آپ,آسان پرداخت پرشین,بورس,7020,7050,6870,6870,6950
2023-09-26,6950,7030,6870,6930,6950,1735223,12062502270,261,آپ,آسان پرداخت پرشین,بورس,6950,7030,6870,6930,6950
2023-09-27,6900,7000,6870,6930,6930,2575838,17847705910,313,آپ,آسان پرداخت پرشین,بورس,6900,7000,6870,6930,6930
2023-09-30,7000,7000,6770,6830,6850,2747658,18809648060,466,آپ,آسان پرداخت پرشین,بورس,7000,7000,6770,6830,6850
2023-10-01,6760,6810,6670,6760,6740,3988759,26865151920,486,آپ,آسان پرداخت پرشین,بورس,6760,6810,6670,6760,6740
2023-10-02,6670,6970,6610,6800,6820,2064641,14096007980,313,آپ,آسان پرداخت پرشین,بورس,6670,6970,6610,6800,6820
2023-10-04,6870,7000,6830,6850,6880,1886136,12996601820,235,آپ,آسان پرداخت پرشین,بورس,6870,7000,6830,6850,6880
2023-10-07,6820,6900,6710,6750,6830,1365543,9283269920,265,آپ,آسان پرداخت پرشین,بورس,6820,6900,6710,6750,6830
2023-10-08,6680,6760,6360,6390,6410,6355856,40748579480,643,آپ,آسان پرداخت پرشین,بورس,6680,6760,6360,6390,6410
2023-10-09,6570,6570,6290,6320,6350,3166127,20107048490,366,آپ,آسان پرداخت پرشین,بورس,6570,6570,6290,6320,6350
2023-10-10,6310,6530,6300,6460,6370,2332152,14849026400,206,آپ,آسان پرداخت پرشین,بورس,6310,6530,6300,6460,6370
2023-10-11,6560,6590,6400,6480,6430,1642767,10594977340,247,آپ,آسان پرداخت پرشین,بورس,6560,6590,6400,6480,6430
2023-10-14,6520,6540,6160,6160,6290,2513762,15822691630,375,آپ,آسان پرداخت پرشین,بورس,6520,6540,6160,6160,6290
2023-10-15,6120,6430,6120,6290,6290,1453632,9133955040,223,آپ,آسان پرداخت پرشین,بورس,6120,6430,6120,6290,6290
2023-10-16,6370,6500,6310,6500,6370,1670641,10700325660,262,آپ,آسان پرداخت پرشین,بورس,6370,6500,6310,6500,6370
2023-10-17,6500,6590,6370,6410,6410,1327717,8548970750,207,آپ,آسان پرداخت پرشین,بورس,6500,6590,6370,6410,6410
2023-10-18,6310,6350,6170,6170,6230,2800600,17458745600,296,آپ,آسان پرداخت پرشین,بورس,6310,6350,6170,6170,6230
2023-10-21,6230,6390,6160,6210,6240,1373394,8588982520,199,آپ,آسان پرداخت پرشین,بورس,6230,6390,6160,6210,6240
2023-10-22,6360,6400,6230,6250,6300,2549530,16053992590,252,آپ,آسان پرداخت پرشین,بورس,6360,6400,6230,6250,6300
2023-10-23,6240,6250,6120,6220,6180,2170350,13373648200,282,آپ,آسان پرداخت پرشین,بورس,6240,6250,6120,6220,6180
2023-09-25,1987,2026,1950,2009,1992,37432712,74555659601,561,آسیا,بیمه آسیا,بورس,1987,2026,1950,2009,1992
2023-09-26,2030,2131,1992,2091,2110,43669486,92161045605,1090,آسیا,بیمه آسیا,بورس,2030,2131,1992,2091,2110
2023-09-27,2100,2124,2019,2095,2075,16241502,33700287272,634,آسیا,بیمه آسیا,بورس,2100,2124,2019,2095,2075
2023-09-30,2078,2119,2042,2070,2064,15882290,32779706384,345,آسیا,بیمه آسیا,بورس,2078,2119,2042,2070,2064
2023-10-01,2069,2089,2015,2015,2046,10463858,21373121380,254,آسیا,بیمه آسیا,بورس,2069,2089,2015,2015,2046
2023-10-02,2001,2069,2001,2020,2031,10928678,22174497488,326,آسیا,بیمه آسیا,بورس,2001,2069,2001,2020,2031
2023-10-04,2004,2100,2004,2060,2050,7872213,16219141133,242,آسیا,بیمه آسیا,بورس,2004,2100,2004,2060,2050
2023-10-07,2063,2075,2000,2030,2027,15805873,32039145061,403,آسیا,بیمه آسیا,بورس,2063,2075,2000,2030,2027
2023-10-08,2036,2036,1920,1971,2005,30729529,61617387439,509,آسیا,بیمه آسیا,بورس,2036,2036,1920,1971,2005
2023-10-09,2058,2058,1951,1979,1992,7255385,14388314602,195,آسیا,بیمه آسیا,بورس,2058,2058,1951,1979,1992
2023-10-10,1940,2020,1935,2017,1995,21809086,43505732473,318,آسیا,بیمه آسیا,بورس,1940,2020,1935,2017,1995
2023-10-11,1960,2078,1960,2068,2014,21849635,44002759287,416,آسیا,بیمه آسیا,بورس,1960,2078,1960,2068,2014
2023-10-14,2080,2080,1975,2020,2016,27971376,56399480576,554,آسیا,بیمه آسیا,بورس,2080,2080,1975,2020,2016
2023-10-15,2070,2070,1981,2045,2004,9077937,18155544275,272,آسیا,بیمه آسیا,بورس,2070,2070,1981,2045,2004
2023-10-16,2050,2050,1992,2010,2009,5576553,11243556491,225,آسیا,بیمه آسیا,بورس,2050,2050,1992,2010,2009
2023-10-17,2000,2050,1992,2010,2011,6021973,12117004684,203,آسیا,بیمه آسیا,بورس,2000,2050,1992,2010,2011
2023-10-18,1985,2020,1926,2013,1995,13951962,27832954919,329,آسیا,بیمه آسیا,بورس,1985,2020,1926,2013,1995
2023-10-21,1920,2028,1920,2005,1995,17457814,34831152366,229,آسیا,بیمه آسیا,بورس,1920,2028,1920,2005,1995
2023-10-22,2004,2005,1976,2000,1998,12279816,24539410557,232,آسیا,بیمه آسیا,بورس,2004,2005,1976,2000,1998
2023-10-23,1964,1998,1960,1976,1985,9541591,18906037127,195,آسیا,بیمه آسیا,بورس,1964,1998,1960,1976,1985
2023-09-25,13500,13510,13250,13280,13480,1483135,19817360340,686,اپال,فرآوری معدنی اپال کانی پارس,بورس,13500,13510,13250,13280,13480
2023-09-26,13420,13430,13200,13220,13450,1235369,16383867620,686,اپال,فرآوری معدنی اپال کانی پارس,بورس,13420,13430,13200,13220,13450
2023-09-27,13230,13460,13140,13420,13380,3066876,40682061900,1176,اپال,فرآوری معدنی اپال کانی پارس,بورس,13230,13460,13140,13420,13380
2023-09-30,13370,13440,13200,13390,13370,1650273,21987370340,885,اپال,فرآوری معدنی اپال کانی پارس,بورس,13370,13440,13200,13390,13370
2023-10-01,13220,13370,13040,13100,13330,1513161,19896830290,797,اپال,فرآوری معدنی اپال کانی پارس,بورس,13220,13370,13040,13100,13330
2023-10-02,13010,13230,12980,13100,13270,1656219,21616011370,874,اپال,فرآوری معدنی اپال کانی پارس,بورس,13010,13230,12980,13100,13270
2023-10-04,13080,13220,13080,13160,13260,867502,11410206280,593,اپال,فرآوری معدنی اپال کانی پارس,بورس,13080,13220,13080,13160,13260
2023-10-07,13200,13240,12890,13020,13200,1672465,21721377400,707,اپال,فرآوری معدنی اپال کانی پارس,بورس,13200,13240,12890,13020,13200
2023-10-08,12920,12960,12540,12560,12950,3189976,40132326660,962,اپال,فرآوری معدنی اپال کانی پارس,بورس,12920,12960,12540,12560,12950
2023-10-09,12390,12800,12390,12600,12890,1359498,17160199930,481,اپال,فرآوری معدنی اپال کانی پارس,بورس,12390,12800,12390,12600,12890
2023-10-10,12430,13200,12430,12940,12870,1262706,16132075560,491,اپال,فرآوری معدنی اپال کانی پارس,بورس,12430,13200,12430,12940,12870
2023-10-11,13000,13020,12600,12640,12850,948026,12067213340,557,اپال,فرآوری معدنی اپال کانی پارس,بورس,13000,13020,12600,12640,12850
2023-10-14,12440,12690,12270,12470,12810,795753,9873083310,399,اپال,فرآوری معدنی اپال کانی پارس,بورس,12440,12690,12270,12470,12810
2023-10-15,12470,12720,12300,12580,12780,697603,8679922940,332,اپال,فرآوری معدنی اپال کانی پارس,بورس,12470,12720,12300,12580,12780
2023-10-16,12430,13150,12430,12790,12780,1145604,14622736030,481,اپال,فرآوری معدنی اپال کانی پارس,بورس,12430,13150,12430,12790,12780
2023-10-17,12530,13070,12530,12790,12790,1017100,13068358690,383,اپال,فرآوری معدنی اپال کانی پارس,بورس,12530,13070,12530,12790,12790
2023-10-18,12550,12620,12200,12500,12750,731624,9076667940,384,اپال,فرآوری معدنی اپال کانی پارس,بورس,12550,12620,12200,12500,12750
2023-10-21,12270,12690,12270,12480,12710,1381804,17279727540,342,اپال,فرآوری معدنی اپال کانی پارس,بورس,12270,12690,12270,12480,12710
2023-10-22,12410,12650,12400,12600,12690,1000810,12552777880,322,اپال,فرآوری معدنی اپال کانی پارس,بورس,12410,12650,12400,12600,12690
2023-10-23,12450,12670,12430,12550,12680,441366,5531877650,246,اپال,فرآوری معدنی اپال کانی پارس,بورس,12450,12670,12430,12550,12680
2023-09-25,5650,5650,5480,5490,5630,763698,4231816200,247,اتکام,بیمه اتکایی امین,بورس,5650,5650,5480,5490,5630
2023-09-26,5610,5610,5530,5600,5630,236258,1314329690,94,اتکام,بیمه اتکایی امین,بورس,5610,5610,5530,5600,5630
2023-09-27,5490,5670,5490,5610,5630,290336,1622810890,67,اتکام,بیمه اتکایی امین,بورس,5490,5670,5490,5610,5630
2023-09-30,5540,5600,5420,5490,5610,773184,4281116190,70,اتکام,بیمه اتکایی امین,بورس,5540,5600,5420,5490,5610
2023-10-01,5530,5550,5400,5460,5590,436717,2398150040,62,اتکام,بیمه اتکایی امین,بورس,5530,5550,5400,5460,5590
2023-10-02,5460,5490,5410,5410,5560,631802,3441168390,97,اتکام,بیمه اتکایی امین,بورس,5460,5490,5410,5410,5560
2023-10-04,5420,5510,5420,5500,5560,75906,415267460,33,اتکام,بیمه اتکایی امین,بورس,5420,5510,5420,5500,5560
2023-10-07,5410,5450,5390,5390,5550,319174,1726846830,58,اتکام,بیمه اتکایی امین,بورس,5410,5450,5390,5390,5550
2023-10-08,5390,5500,5280,5300,5490,827294,4413366770,83,اتکام,بیمه اتکایی امین,بورس,5390,5500,5280,5300,5490
2023-10-09,5260,5400,5260,5340,5480,263546,1405146030,36,اتکام,بیمه اتکایی امین,بورس,5260,5400,5260,5340,5480
2023-10-10,5320,5460,5300,5350,5470,344454,1843270740,39,اتکام,بیمه اتکایی امین,بورس,5320,5460,5300,5350,5470
2023-10-11,5460,5460,5260,5290,5460,229996,1221858190,69,اتکام,بیمه اتکایی امین,بورس,5460,5460,5260,5290,5460
2023-10-14,5250,5260,5190,5190,5370,1164630,6060635810,88,اتکام,بیمه اتکایی امین,بورس,5250,5260,5190,5190,5370
2023-10-15,5110,5300,5110,5260,5350,349501,1825716240,149,اتکام,بیمه اتکایی امین,بورس,5110,5300,5110,5260,5350
2023-10-16,5210,5280,5120,5120,5310,608857,3143652930,103,اتکام,بیمه اتکایی امین,بورس,5210,5280,5120,5120,5310
2023-10-17,5200,5380,5080,5090,5260,1589452,8283009140,483,اتکام,بیمه اتکایی امین,بورس,5200,5380,5080,5090,5260
2023-10-18,5090,5280,5050,5050,5220,828151,4226663850,314,اتکام,بیمه اتکایی امین,بورس,5090,5280,5050,5050,5220
2023-10-21,5010,5200,5010,5090,5200,537677,2747981880,148,اتکام,بیمه اتکایی امین,بورس,5010,5200,5010,5090,5200
2023-10-22,5180,5410,5070,5240,5210,2614108,13617967110,271,اتکام,بیمه اتکایی امین,بورس,5180,5410,5070,5240,5210
2023-10-23,5290,5290,5120,5120,5200,514071,2661691370,113,اتکام,بیمه اتکایی امین,بورس,5290,5290,5120,5120,5200
2023-09-25,10000,10050,9720,9740,9920,7886406,77760576790,859,اخابر,مخابرات ایران,بورس,10000,10050,9720,9740,9920
2023-09-26,9630,10110,9630,9890,9930,7313576,72661392670,711,اخابر,مخابرات ایران,بورس,9630,10110,9630,9890,9930
2023-09-27,9930,10060,9690,9730,9870,9795340,96574452310,1002,اخابر,مخابرات ایران,بورس,9930,10060,9690,9730,9870
2023-09-30,9750,9930,9400,9520,9640,10862506,104434719650,1237,اخابر,مخابرات ایران,بورس,9750,9930,9400,9520,9640
2023-10-01,9440,9650,9320,9530,9460,10404414,98128001260,1042,اخابر,مخابرات ایران,بورس,9440,9650,9320,9530,9460
2023-10-02,9460,9700,9400,9550,9510,6035016,57660575470,878,اخابر,مخابرات ایران,بورس,9460,9700,9400,9550,9510
2023-10-04,9570,9780,9440,9510,9540,6216391,59510227910,875,اخابر,مخابرات ایران,بورس,9570,9780,9440,9510,9540
2023-10-07,9490,9500,8880,8880,9090,18931561,172136188850,1919,اخابر,مخابرات ایران,بورس,9490,9500,8880,8880,9090
2023-10-08,8630,8870,8460,8590,8500,31398264,266767882230,2305,اخابر,مخابرات ایران,بورس,8630,8870,8460,8590,8500
2023-10-09,8220,8700,8220,8500,8530,13428376,114484696680,1131,اخابر,مخابرات ایران,بورس,8220,8700,8220,8500,8530
2023-10-10,8640,8890,8440,8820,8650,16644265,143914391140,1121,اخابر,مخابرات ایران,بورس,8640,8890,8440,8820,8650
2023-10-11,8790,8970,8490,8580,8650,9796401,84748177070,999,اخابر,مخابرات ایران,بورس,8790,8970,8490,8580,8650
2023-10-14,8500,8600,8260,8340,8460,9528472,79851378010,928,اخابر,مخابرات ایران,بورس,8500,8600,8260,8340,8460
2023-10-15,8260,8550,8250,8340,8380,10640682,88846610700,919,اخابر,مخابرات ایران,بورس,8260,8550,8250,8340,8380
2023-10-16,8450,8790,8360,8670,8510,6984368,60278013990,970,اخابر,مخابرات ایران,بورس,8450,8790,8360,8670,8510
2023-10-17,8690,8790,8500,8510,8560,6568307,56577116150,657,اخابر,مخابرات ایران,بورس,8690,8790,8500,8510,8560
2023-10-18,8140,8380,8130,8200,8280,11481663,94450103950,1183,اخابر,مخابرات ایران,بورس,8140,8380,8130,8200,8280
